date,open,high,low,close,volume
2023-01-11,144.89,147.57,143.5,147.54,533854.0
2023-01-12,148.11,148.27,144.55,147.28,484880.0
2023-01-13,145.98,147.22,145.75,146.57,502047.0
2023-01-17,146.57,148.19,145.44,147.1,786097.0
2023-01-18,148.14,149.7,143.63,143.7,611042.0
2023-01-19,143.47,144.08,140.875,140.95,552575.0
2023-01-20,140.95,145.13,139.55,144.65,636147.0
2023-01-23,145.66,148.26,144.525,147.77,698517.0
2023-01-24,146.05,148.172,145.18,146.47,887950.0
2023-01-25,138.67,146.86,138.5,145.49,1312213.0
2023-01-26,146.14,148.15,144.86,147.81,539607.0
2023-01-27,147.3,149.48,146.965,147.77,392204.0
2023-01-30,146.66,146.87,144.88,145.69,541854.0
2023-01-31,145.1,148.56,143.27,147.66,496468.0
2023-02-01,147.51,151.02,146.58,150.35,772658.0
2023-02-02,151.49,159.95,151.42,156.69,1213178.0
2023-02-03,154.63,155.04,151.28,152.4,547011.0
2023-02-06,150.96,151.28,146.65,146.92,573999.0
2023-02-07,146.18,148.91,145.31,148.5,675957.0
2023-02-08,147.95,148.735,144.58,145.3,435046.0
2023-02-09,147.19,148.18,145.26,145.5,563793.0
2023-02-10,144.27,145.67,144.03,144.99,554744.0
2023-02-13,145.46,146.99,144.76,146.96,532038.0
2023-02-14,146.25,147.94,145.095,147.23,529209.0
2023-02-15,146.6,148.38,146.6,147.55,431122.0
2023-02-16,146.71,149.31,146.03,146.8,495437.0
2023-02-17,146.45,147.1,142.565,146.88,684606.0
2023-02-21,145.64,145.64,141.9,142.98,399511.0
2023-02-22,143.2,143.9,141.91,142.89,386391.0
2023-02-23,144.29,144.62,141.37,143.67,401431.0
2023-02-24,141.65,141.65,139.1,140.65,321103.0
2023-02-27,142.11,142.945,140.19,140.69,252876.0
2023-02-28,140.64,143.85,140.585,142.98,652526.0
2023-03-01,142.12,144.9399,141.825,144.04,482056.0
2023-03-02,143.67,144.77,142.12,144.23,375061.0
2023-03-03,145.51,146.91,145.07,145.6,362915.0
2023-03-06,146.26,147.86,144.91,145.17,340201.0
2023-03-07,145.34,147.03,144.23,144.65,351641.0
2023-03-08,144.94,146.1,143.59,144.9,316105.0
2023-03-09,145.12,145.61,141.21,141.27,462237.0
2023-03-10,140.91,141.2585,137.62,138.5,551068.0
2023-03-13,137.27,138.83,135.49,136.84,591036.0
2023-03-14,138.69,140.445,137.175,138.7,530287.0
2023-03-15,136.33,141.44,136.12,138.54,512687.0
2023-03-16,137.6,141.33,136.71,140.92,364387.0
2023-03-17,140.74,142.19,139.3,140.73,1239284.0
2023-03-20,140.47,142.68,139.595,142.62,362253.0
2023-03-21,143.28,145.11,142.76,144.83,389370.0
2023-03-22,144.59,145.25,140.58,140.67,257635.0
2023-03-23,141.53,143.83,139.01,140.3,317356.0
2023-03-24,139.74,141.27,138.9,141.12,340759.0
2023-03-27,141.66,142.4,139.25,139.35,379187.0
2023-03-28,139.03,140.05,138.3,139.85,272393.0
2023-03-29,140.99,141.99,140.195,141.95,255031.0
2023-03-30,143.41,143.41,141.82,143.26,313024.0
2023-03-31,143.84,146.205,143.29,145.69,477756.0
2023-04-03,144.9,146.0,144.3,144.67,295416.0
2023-04-04,145.29,146.08,144.025,146.04,481588.0
2023-04-05,145.86,147.81,145.76,147.2,593721.0
2023-04-06,145.43,148.17,144.525,146.71,438735.0
2023-04-10,145.67,147.6,144.86,146.6,532070.0
2023-04-11,146.34,147.155,144.8201,145.75,513089.0
2023-04-12,147.14,147.38,143.77,144.25,595310.0
2023-04-13,145.1,147.87,144.17,147.41,518168.0
2023-04-14,146.59,148.2199,144.57,145.45,440908.0
2023-04-17,145.54,146.2,143.8,145.28,784080.0
2023-04-18,145.18,145.92,141.2,142.89,1024626.0
2023-04-19,141.01,141.33,136.52,137.05,1677121.0
2023-04-20,128.03,134.86,127.05,134.16,2592237.0
2023-04-21,134.78,136.3,133.1,134.02,797312.0
2023-04-24,133.97,134.21,132.01,133.63,517826.0
2023-04-25,132.97,133.2,130.0,130.29,703316.0
2023-04-26,130.43,132.29,130.03,130.67,564481.0
2023-04-27,131.35,132.25,130.5145,132.06,481042.0
2023-04-28,132.0,134.57,131.61,134.36,522138.0
2023-05-01,133.66,134.78,133.525,134.26,521750.0
2023-05-02,133.02,133.32,129.93,131.79,603216.0
2023-05-03,132.0,133.69,130.65,131.12,596491.0
2023-05-04,130.34,131.83,130.34,131.13,619637.0
2023-05-05,132.66,133.85,132.34,133.22,462315.0
2023-05-08,133.67,135.18,133.0025,135.04,476035.0
2023-05-09,133.96,135.425,133.96,134.76,636250.0
2023-05-10,136.27,136.94,134.11,135.26,539763.0
2023-05-11,135.13,135.13,133.91,134.8,427571.0
2023-05-12,135.55,137.74,134.81,137.66,533890.0
2023-05-15,137.64,140.0,137.29,139.94,573593.0
