date,ticker,action,weight
2024-01-08,AVXL,BUY,0.1
2024-01-08,COGT,BUY,0.1
2024-01-08,LFMD,BUY,0.1
2024-01-08,MBLY,BUY,0.1
2024-01-08,PCT,BUY,0.1
2024-01-08,POET,BUY,0.1
2024-01-08,REPL,BUY,0.1
2024-01-08,SMR,BUY,0.1
2024-01-08,TSHA,BUY,0.1
2024-01-08,TSSI,BUY,0.1
2024-01-23,ABAT,BUY,0.1
2024-01-23,ADM,BUY,0.1
2024-01-23,LNTH,BUY,0.1
2024-01-23,NUTX,BUY,0.1
2024-01-23,PHAT,BUY,0.1
2024-01-23,PSIX,BUY,0.1
2024-01-23,TGEN,BUY,0.1
2024-01-23,VNET,BUY,0.1
2024-01-23,XPEV,BUY,0.1
2024-01-23,POET,HOLD,0.1
2024-01-23,AVXL,SELL,0.0
2024-01-23,COGT,SELL,0.0
2024-01-23,LFMD,SELL,0.0
2024-01-23,MBLY,SELL,0.0
2024-01-23,PCT,SELL,0.0
2024-01-23,REPL,SELL,0.0
2024-01-23,SMR,SELL,0.0
2024-01-23,TSHA,SELL,0.0
2024-01-23,TSSI,SELL,0.0
2024-02-06,CHTR,BUY,0.1
2024-02-06,CORZ,BUY,0.1
2024-02-06,CVAC,BUY,0.1
2024-02-06,GDS,BUY,0.1
2024-02-06,HSAI,BUY,0.1
2024-02-06,IHS,BUY,0.1
2024-02-06,SGML,BUY,0.1
2024-02-06,SYM,BUY,0.1
2024-02-06,THR,BUY,0.1
2024-02-06,VNET,HOLD,0.1
2024-02-06,ABAT,SELL,0.0
2024-02-06,ADM,SELL,0.0
2024-02-06,LNTH,SELL,0.0
2024-02-06,NUTX,SELL,0.0
2024-02-06,PHAT,SELL,0.0
2024-02-06,POET,SELL,0.0
2024-02-06,PSIX,SELL,0.0
2024-02-06,TGEN,SELL,0.0
2024-02-06,XPEV,SELL,0.0
2024-02-21,AUPH,BUY,0.1
2024-02-21,CAR,BUY,0.1
2024-02-21,FSLY,BUY,0.1
2024-02-21,HLF,BUY,0.1
2024-02-21,QDEL,BUY,0.1
2024-02-21,SSRM,BUY,0.1
2024-02-21,TRUP,BUY,0.1
2024-02-21,WW,BUY,0.1
2024-02-21,CORZ,HOLD,0.1
2024-02-21,HSAI,HOLD,0.1
2024-02-21,CHTR,SELL,0.0
2024-02-21,CVAC,SELL,0.0
2024-02-21,GDS,SELL,0.0
2024-02-21,IHS,SELL,0.0
2024-02-21,SGML,SELL,0.0
2024-02-21,SYM,SELL,0.0
2024-02-21,THR,SELL,0.0
2024-02-21,VNET,SELL,0.0
2024-03-06,COMM,BUY,0.1
2024-03-06,DAVA,BUY,0.1
2024-03-06,FL,BUY,0.1
2024-03-06,GRFS,BUY,0.1
2024-03-06,IAS,BUY,0.1
2024-03-06,UPXI,BUY,0.1
2024-03-06,XMTR,BUY,0.1
2024-03-06,HLF,HOLD,0.1
2024-03-06,HSAI,HOLD,0.1
2024-03-06,SSRM,HOLD,0.1
2024-03-06,AUPH,SELL,0.0
2024-03-06,CAR,SELL,0.0
2024-03-06,CORZ,SELL,0.0
2024-03-06,FSLY,SELL,0.0
2024-03-06,QDEL,SELL,0.0
2024-03-06,TRUP,SELL,0.0
2024-03-06,WW,SELL,0.0
2024-03-20,AMLX,BUY,0.1
2024-03-20,BLDE,BUY,0.1
2024-03-20,BNED,BUY,0.1
2024-03-20,JKS,BUY,0.1
2024-03-20,MVST,BUY,0.1
2024-03-20,PGY,BUY,0.1
2024-03-20,UPST,BUY,0.1
2024-03-20,WW,BUY,0.1
2024-03-20,COMM,HOLD,0.1
2024-03-20,DAVA,HOLD,0.1
2024-03-20,FL,SELL,0.0
2024-03-20,GRFS,SELL,0.0
2024-03-20,HLF,SELL,0.0
2024-03-20,HSAI,SELL,0.0
2024-03-20,IAS,SELL,0.0
2024-03-20,SSRM,SELL,0.0
2024-03-20,UPXI,SELL,0.0
2024-03-20,XMTR,SELL,0.0
2024-04-04,HLF,BUY,0.1
2024-04-04,INOD,BUY,0.1
2024-04-04,IRON,BUY,0.1
2024-04-04,SSRM,BUY,0.1
2024-04-04,TNXP,BUY,0.1
2024-04-04,XMTR,BUY,0.1
2024-04-04,AMLX,HOLD,0.1
2024-04-04,BNED,HOLD,0.1
2024-04-04,MVST,HOLD,0.1
2024-04-04,PGY,HOLD,0.1
2024-04-04,BLDE,SELL,0.0
2024-04-04,COMM,SELL,0.0
2024-04-04,DAVA,SELL,0.0
2024-04-04,JKS,SELL,0.0
2024-04-04,UPST,SELL,0.0
2024-04-04,WW,SELL,0.0
2024-04-18,COMM,BUY,0.1
2024-04-18,ENVX,BUY,0.1
2024-04-18,EYPT,BUY,0.1
2024-04-18,GL,BUY,0.1
2024-04-18,PERI,BUY,0.1
2024-04-18,UPXI,BUY,0.1
2024-04-18,AMLX,HOLD,0.1
2024-04-18,BNED,HOLD,0.1
2024-04-18,IRON,HOLD,0.1
2024-04-18,MVST,HOLD,0.1
2024-04-18,HLF,SELL,0.0
2024-04-18,INOD,SELL,0.0
2024-04-18,PGY,SELL,0.0
2024-04-18,SSRM,SELL,0.0
2024-04-18,TNXP,SELL,0.0
2024-04-18,XMTR,SELL,0.0
2024-05-02,CVS,BUY,0.1
2024-05-02,FRSH,BUY,0.1
2024-05-02,FSLY,BUY,0.1
2024-05-02,LEG,BUY,0.1
2024-05-02,XPEL,BUY,0.1
2024-05-02,COMM,HOLD,0.1
2024-05-02,EYPT,HOLD,0.1
2024-05-02,GL,HOLD,0.1
2024-05-02,MVST,HOLD,0.1
2024-05-02,UPXI,HOLD,0.1
2024-05-02,AMLX,SELL,0.0
2024-05-02,BNED,SELL,0.0
2024-05-02,ENVX,SELL,0.0
2024-05-02,IRON,SELL,0.0
2024-05-02,PERI,SELL,0.0
2024-05-16,ATNF,BUY,0.1
2024-05-16,BNED,BUY,0.1
2024-05-16,CRNC,BUY,0.1
2024-05-16,DLO,BUY,0.1
2024-05-16,DV,BUY,0.1
2024-05-16,EVLV,BUY,0.1
2024-05-16,FWRD,BUY,0.1
2024-05-16,GRRR,BUY,0.1
2024-05-16,SPT,BUY,0.1
2024-05-16,EYPT,HOLD,0.1
2024-05-16,COMM,SELL,0.0
2024-05-16,CVS,SELL,0.0
2024-05-16,FRSH,SELL,0.0
2024-05-16,FSLY,SELL,0.0
2024-05-16,GL,SELL,0.0
2024-05-16,LEG,SELL,0.0
2024-05-16,MVST,SELL,0.0
2024-05-16,UPXI,SELL,0.0
2024-05-16,XPEL,SELL,0.0
2024-05-31,GL,BUY,0.1
2024-05-31,LEG,BUY,0.1
2024-05-31,LZ,BUY,0.1
2024-05-31,MDB,BUY,0.1
2024-05-31,OCUL,BUY,0.1
2024-05-31,PATH,BUY,0.1
2024-05-31,UNIT,BUY,0.1
2024-05-31,CRNC,HOLD,0.1
2024-05-31,EYPT,HOLD,0.1
2024-05-31,SPT,HOLD,0.1
2024-05-31,ATNF,SELL,0.0
2024-05-31,BNED,SELL,0.0
